metric,value
trimesh_version,5.0.0
head_vertices,1604
head_triangles,3064
face_vertices,490
face_triangles,936
k_neighbors,16
influence_radius,0.28
zero_displacement_radius,0.65
face_displacement_mean,0.061748696758945926
face_displacement_median,0.05029497436162578
face_displacement_p95,0.14316317142557178
face_displacement_max,0.16096722416890172
head_displacement_mean,0.03584319307390097
head_displacement_median,0.02454488749583747
head_displacement_p95,0.11281624144264316
head_displacement_max,0.16096722416890172
head_nonzero_vertices,1604
exact_face_displacement_error,0.0
face_transfer_error_max,1.1102230246251565e-16
topology_preserved,True
degenerate_triangles,0
edge_ratio_min,0.47882850302797775
edge_ratio_max,1.4581743401625895
area_ratio_min,0.35360024217085306
area_ratio_max,1.332129331450207
displacement_gate,True
geometry_gate,True
exact_face_gate,True
transfer_gate,True
overall,True
