metric,value
topology_ok,True
geometry_ok,True
face_integrity_ok,True
local_continuity_ok,True
continuity_ok,True
remote_evaluable,False
remote_ok,True
face_exact_error,1.3954012798977813e-08
neighbor_jump_mean,0.002771513168436493
neighbor_jump_p95,0.005517899411292583
neighbor_jump_max,0.01899014475070974
relative_jump_p95,0.25490230947100045
relative_jump_max,0.7296192425308237
remote_displacement_mean,0.0
remote_displacement_max,0.0
edge_ratio_min,0.4788284265627859
edge_ratio_max,1.4581811795046602
area_ratio_min,0.3536001653913539
area_ratio_max,1.3321255638696323
degenerate_triangles,0
