metrica,valore
status,PASS
vertices,1604
triangles,3064
topology_preserved,True
reconstruction_max_error,1.3954012798977813e-08
geometry_preserved,True
degenerate_triangles,0
edge_ratio_min,0.4788284265627859
edge_ratio_max,1.4581811795046602
area_ratio_min,0.353600165391354
area_ratio_max,1.3321255638696323
displacement_mean,0.03584319307390097
displacement_median,0.02454488749583747
displacement_p95,0.11281624144264316
displacement_max,0.16096722416890172
source,C:\Progetti\Face3DStudio\v10c3_trimesh_head_deformation_transfer\v10c3_canonical_head_deformed.obj
canonical_asset_modified,False
