vertex,baseline_x,baseline_y,baseline_z,deformed_x,deformed_y,deformed_z,dx,dy,dz,displacement_norm
0,0.76227261,0.5749884,0.02005106,0.75717296,0.55525779,0.0130082,-0.005099648368804482,-0.019730606230502906,-0.007042862196518333,0.02156165911120379
1,0.75509237,0.55906334,0.02672818,0.74896251,0.54015693,0.01862745,-0.006129861204192908,-0.018906408718350268,-0.00810073013592748,0.02146274254942979
2,0.69056583,0.53269269,0.17304988,0.67738474,0.51825922,0.11277328,-0.013181091635075609,-0.01443347022724405,-0.0602766044259289,0.06336667326452378
3,0.67612497,0.54640796,0.21602851,0.66325057,0.53094094,0.1472959,-0.012874399425570119,-0.015467015966253838,-0.06873261294877672,0.07161809007671051
4,0.7363819,0.54003824,0.07542128,0.72835145,0.5223566,0.06534073,-0.008030445208680726,-0.017681640124697452,-0.010080547229219217,0.02188026234279318
5,0.75337829,0.57366975,0.01797497,0.74705226,0.55427269,0.0099226,-0.006326030198729514,-0.019397062198142946,-0.00805237160978369,0.02193411426376534
6,0.73279856,0.57215132,0.0444424,0.72506253,0.55332683,0.03454129,-0.0077360352870604245,-0.018824483399519712,-0.009901113303910119,0.022632707789354396
7,0.677505,0.53481758,0.15682862,0.66286731,0.52407908,0.10073395,-0.014637688856100667,-0.010738498891955212,-0.056094672755257986,0.05895921984745066
8,0.65668195,0.54718978,0.2055304,0.64270327,0.53452576,0.1363585,-0.013978675671481594,-0.012664016923382326,-0.06917190007724787,0.07169750664047495
9,0.69988055,0.55614501,0.0859086,0.69016675,0.53754,0.07013818,-0.009713798996161713,-0.018605005853674358,-0.01577042904751784,0.026252820155097317
10,0.65618307,0.56350293,0.17576381,0.64318638,0.54693023,0.11279646,-0.012996690704240813,-0.016572700562105115,-0.0629673503929836,0.06639620161346332
11,0.67110634,0.55980871,0.15617631,0.65916437,0.54017209,0.09943526,-0.011941973217036949,-0.0196366141406769,-0.05674104961378322,0.061218902722117365
12,0.70150439,0.56721786,0.09170469,0.69163979,0.54741262,0.07443638,-0.00986460751982457,-0.019805235432973384,-0.017268318946921313,0.028066931989946555
13,0.73236897,0.587612,0.05072112,0.72502843,0.56777944,0.04123661,-0.0073405388983544375,-0.019832562913984476,-0.009484508664366915,0.023176927485321647
14,0.74815452,0.57938587,0.02711503,0.74126123,0.55947255,0.0180507,-0.006893287667436023,-0.01991332188295931,-0.009064334200871046,0.022939484688751233
15,0.6517164,0.57295056,0.1915337,0.63908451,0.55611145,0.12447143,-0.012631891811644102,-0.016839102003639007,-0.0670622689720568,0.07028846254336862
16,0.69770919,0.56932307,0.15286295,0.68966995,0.5397522,0.10430766,-0.008039242175345074,-0.029570865321583806,-0.04855528107434946,0.05741672936375054
17,0.71504746,0.56843587,0.1064747,0.70604137,0.54571228,0.08584602,-0.009006099126587404,-0.022723585901786594,-0.02062868403444674,0.03198458664273826
18,0.74431898,0.5728165,0.05918834,0.73728292,0.55333955,0.05004259,-0.007036062442382354,-0.019476950144489587,-0.009145749897452076,0.022638518123118862
19,0.75981719,0.58330663,0.02642362,0.75451751,0.56215331,0.0188355,-0.00529967748980352,-0.021153319013104792,-0.007588114801978042,0.023089585812961416
