metrica,valore
status,PASS
vertices,1604
triangles,3064
face_vertices,490
face_triangles,936
topology_ok,True
baseline_ok,True
deformed_ok,True
obj_ply_ok,True
field_ok,True
csv_ok,True
face_component_ok,True
geometry_ok,True
c3_c5_deformed_max_error,0.0
obj_ply_max_error,4.02918655037187e-08
c3_field_max_error,1.3954012798977813e-08
c5_csv_baseline_max_error,0.0
c5_csv_deformed_max_error,0.0
degenerate_triangles,0
edge_ratio_min,0.4788284265627859
edge_ratio_max,1.4581811795046602
area_ratio_min,0.353600165391354
area_ratio_max,1.3321255638696323
