vertex,c3_baseline_x,c3_baseline_y,c3_baseline_z,c3_deformed_x,c3_deformed_y,c3_deformed_z,c5_deformed_x,c5_deformed_y,c5_deformed_z,c3_c5_error
0,0.76227261,0.5749884,0.02005106,0.75717296,0.55525779,0.0130082,0.75717296,0.55525779,0.0130082,0.0
1,0.75509237,0.55906334,0.02672818,0.74896251,0.54015693,0.01862745,0.74896251,0.54015693,0.01862745,0.0
2,0.69056583,0.53269269,0.17304988,0.67738474,0.51825922,0.11277328,0.67738474,0.51825922,0.11277328,0.0
3,0.67612497,0.54640796,0.21602851,0.66325057,0.53094094,0.1472959,0.66325057,0.53094094,0.1472959,0.0
4,0.7363819,0.54003824,0.07542128,0.72835145,0.5223566,0.06534073,0.72835145,0.5223566,0.06534073,0.0
5,0.75337829,0.57366975,0.01797497,0.74705226,0.55427269,0.0099226,0.74705226,0.55427269,0.0099226,0.0
6,0.73279856,0.57215132,0.0444424,0.72506253,0.55332683,0.03454129,0.72506253,0.55332683,0.03454129,0.0
7,0.677505,0.53481758,0.15682862,0.66286731,0.52407908,0.10073395,0.66286731,0.52407908,0.10073395,0.0
8,0.65668195,0.54718978,0.2055304,0.64270327,0.53452576,0.1363585,0.64270327,0.53452576,0.1363585,0.0
9,0.69988055,0.55614501,0.0859086,0.69016675,0.53754,0.07013818,0.69016675,0.53754,0.07013818,0.0
10,0.65618307,0.56350293,0.17576381,0.64318638,0.54693023,0.11279646,0.64318638,0.54693023,0.11279646,0.0
11,0.67110634,0.55980871,0.15617631,0.65916437,0.54017209,0.09943526,0.65916437,0.54017209,0.09943526,0.0
12,0.70150439,0.56721786,0.09170469,0.69163979,0.54741262,0.07443638,0.69163979,0.54741262,0.07443638,0.0
13,0.73236897,0.587612,0.05072112,0.72502843,0.56777944,0.04123661,0.72502843,0.56777944,0.04123661,0.0
14,0.74815452,0.57938587,0.02711503,0.74126123,0.55947255,0.0180507,0.74126123,0.55947255,0.0180507,0.0
15,0.6517164,0.57295056,0.1915337,0.63908451,0.55611145,0.12447143,0.63908451,0.55611145,0.12447143,0.0
16,0.69770919,0.56932307,0.15286295,0.68966995,0.5397522,0.10430766,0.68966995,0.5397522,0.10430766,0.0
17,0.71504746,0.56843587,0.1064747,0.70604137,0.54571228,0.08584602,0.70604137,0.54571228,0.08584602,0.0
18,0.74431898,0.5728165,0.05918834,0.73728292,0.55333955,0.05004259,0.73728292,0.55333955,0.05004259,0.0
19,0.75981719,0.58330663,0.02642362,0.75451751,0.56215331,0.0188355,0.75451751,0.56215331,0.0188355,0.0
20,0.76837447,0.56926911,0.07534293,0.76846689,0.5484139,0.06845536,0.76846689,0.5484139,0.06845536,0.0
21,0.7486599,0.33020697,-0.01355624,0.74108414,0.35382035,-0.02034142,0.74108414,0.35382035,-0.02034142,0.0
22,0.74042723,0.33757178,-0.00331809,0.73266253,0.36023224,-0.01335794,0.73266253,0.36023224,-0.01335794,0.0
23,0.7136381,0.32962747,-0.01596036,0.70229028,0.35428505,-0.02586352,0.70229028,0.35428505,-0.02586352,0.0
24,0.7190435,0.32030932,-0.02446886,0.70767369,0.34637974,-0.03177178,0.70767369,0.34637974,-0.03177178,0.0
25,0.76280578,0.35686936,0.00334078,0.7579252,0.37550272,-0.00612044,0.7579252,0.37550272,-0.00612044,0.0
26,0.75184192,0.3533512,0.00290077,0.74576782,0.37292212,-0.0075593,0.74576782,0.37292212,-0.0075593,0.0
